Document,Dominant_Topic,Perc_Contribution,Topic_Keywords,Reviews_cleaned
10,1,0.958500028,"process, loan, read, closing, made, team, experience, time, great, questions","['working', 'michelle', 'wyndham', 'went', 'really', 'well', 'first_time', 'homeowner', 'first', 'refinance', 'feel', 'process', 'smooth', 'successful', 'definitely_recommend', 'michelle', 'friends', 'family']"
11,1,0.988600016,"process, loan, read, closing, made, team, experience, time, great, questions","['usten', 'butler', 'brought', 'humanity', 'connection', 'stiff', 'lifeless', 'scary', 'transaction', 'quite', 'possibly', 'largest', 'purchase', 'wife', 'ever', 'make', 'didnt', 'simply', 'want', 'transact', 'faceless', 'institution', 'lot', 'riding', 'picking', 'right', 'house', 'making', 'sure', 'everything', 'work', 'austen', 'every_step', 'way', 'true', 'austen', 'got', 'best', 'deal', 'yes', 'thats', 'also', 'true', 'first', 'starting', 'looking', 'year', 'later', 'found', 'home', 'wanted', 'presence', 'positivity', 'guidance', 'gave', 'confidence', 'take', 'step', 'move', 'dream_home', 'made', 'huge', 'difference', 'family', 'right', 'want', 'kids', 'block', 'couldnt', 'happier', 'thanks', 'austen', 'butlers', 'help']"
12,3,0.962199986,"process, time, read, loan, home, great, always, company, questions, nasb","['jay', 'easy', 'get', 'hold', 'questions', 'huge', 'theres', 'lot', 'whole', 'loan', 'process', 'want', 'know', 'everythings', 'right', 'provided', 'great', 'service', 'couldve', 'wanted']"
13,1,0.963,"process, loan, read, closing, made, team, experience, time, great, questions","['million', 'friends', 'recommend', 'wyndham_capital', 'especially', 'mark', 'taylor', 'hes', 'great', 'really', 'help', 'even', 'clock', 'thanks', 'million', 'mark', 'mean', 'heart', 'appreciate', 'everything']"
14,3,0.985599995,"process, time, read, loan, home, great, always, company, questions, nasb","['chaz', 'fantastic', 'throughout', 'entire', 'lending', 'processs', 'share', 'challenges', 'original', 'underwriter', 'fault', 'chase', 'yet', 'stepped', 'quickly', 'rectify', 'issues', 'glue', 'kept', 'deal', 'together', 'challenges', 'first', 'property', 'falling', 'last', 'minute', 'yet', 'chaz', 'kept', 'spirits', 'assisted', 'quickly', 'transitioning', 'new', 'much', 'better', 'property', 'end', 'cannot', 'say_enough', 'positive', 'things', 'chaz', 'consummate', 'professional', 'responsive', 'highly_recommend', 'business', 'plan', 'staying', 'touch', 'future', 'opportunities']"
15,2,0.955799997,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['austen', 'awsome', 'every_step', 'way', 'refi', 'new_home', 'purchase', 'explains', 'best', 'options', 'thoroughly', 'companies', 'get', 'business', 'repeat', 'customer', 'says']"
16,2,0.954200029,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['salesperson', 'kept', 'pushing', 'cash', 'refi', 'even', 'told', 'looking', 'heloc', 'specifically', 'hangs', 'said', 'quoted', 'better', 'rate', 'ridiculous']"
17,3,0.795700014,"process, time, read, loan, home, great, always, company, questions, nasb","['worst', 'experience', 'ever', 'like', 'never', 'gone', 'process', 'could', 'get', 'complete', 'list', 'documents', 'required', 'every', 'day', 'new', 'request', 'appraiser', 'hired', 'made', 'many', 'mistakes', 'send', 'corrections', 'underwriting', 'process', 'back', 'make', 'corrections', 'wyndum', 'continue', 'ask', 'copies', 'documents', 'many', 'documents', 'send', 'times', 'lost', 'filed', 'correctly', 'went', 'different', 'people', 'process', 'never', 'awful', 'experience']"
18,3,0.977199972,"process, time, read, loan, home, great, always, company, questions, nasb","['good', 'rate', 'frustrating', 'process', 'constant', 'delays', 'decisions', 'made', 'changed', 'overwhelmed', 'underwriting', 'team', 'week', 'back', 'log', 'rookie', 'mistake', 'related', 'texas', 'law', 'caused', 'additional', 'week', 'wait', 'closing', 'happened', 'almost', 'weeks', 'courteous', 'professional', 'knowledgeable', 'sense', 'urgency', 'recommend']"
19,1,0.979099989,"process, loan, read, closing, made, team, experience, time, great, questions","['upfront', 'learn', 'mistake', 'trusted', 'loan_officer', 'zero', 'point', 'rate', 'option', 'closing', 'loan', 'convinced', 'initially', 'sign', 'good_faith_estimate', 'higher', 'rate', 'plus', 'lenders', 'credit', 'running', 'numbers', 'lower', 'interest', 'favorable', 'asking', 'charge', 'points', 'looks', 'like', 'good', 'words', 'beginning', 'please', 'careful', 'dealing', 'lender']"
20,1,0.976199985,"process, loan, read, closing, made, team, experience, time, great, questions","['initially', 'mortgage_broker', 'friendly', 'assertive', 'paper', 'work', 'filled', 'closing', 'loan', 'eminent', 'became', 'increasingly', 'difficult', 'reach', 'broker', 'initiate', 'phone_calls', 'seemed', 'call', 'make', 'process', 'move', 'forward', 'took', 'four', 'weeks', 'get', 'copy', 'closing', 'documents', 'payoff', 'credit_card']"
21,1,0.976199985,"process, loan, read, closing, made, team, experience, time, great, questions","['initially', 'mortgage_broker', 'friendly', 'assertive', 'paper', 'work', 'filled', 'closing', 'loan', 'eminent', 'became', 'increasingly', 'difficult', 'reach', 'broker', 'initiate', 'phone_calls', 'seemed', 'call', 'make', 'process', 'move', 'forward', 'took', 'four', 'weeks', 'get', 'copy', 'closing', 'documents', 'payoff', 'credit_card']"
22,0,0.970600009,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['worked', 'kory', 'carla', 'nasb', 'superb', 'team', 'provided', 'excellent', 'responsive', 'knowledgeable', 'service', 'throughout', 'entire_process', 'complicated', 'process', 'refinance', 'loan', 'hung', 'entire', 'time', 'great', 'experience_working', 'highly_recommend', 'future', 'mortgage', 'needs']"
23,2,0.975499988,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['kory', 'far', 'best', 'loan_officer', 'ever', 'worked', 'dealing', 'complicated', 'refinance', 'purchase', 'two', 'different', 'properties', 'cool', 'calm', 'professional', 'extremely', 'knowledgeable', 'throughout', 'entire_process', 'wouldnt', 'anyone_else', 'moving', 'forward', 'level', 'integrity', 'responsiveness', 'second_none', 'thanks', 'everything', 'kory']"
24,2,0.990999997,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['expert', 'loan_officer', 'well', 'versed', 'financial', 'impacts', 'loan', 'component', 'changes', 'best', 'worked', 'across', 'home', 'buyingselling', 'deals', 'advocated', 'real', 'estate', 'broker', 'state', 'due', 'ability', 'close', 'complicated', 'high', 'pressure', 'deals', 'places', 'top', 'list', 'years', 'business', 'professionally', 'patiently', 'answers', 'detailed', 'questions', 'rally', 'expanded', 'nasb_team', 'also', 'stellar', 'support', 'needs', 'handled', 'complicated', 'loan', 'seemed', 'change', 'every', 'week', 'tried', 'buy', 'antebellum_home', 'tough', 'comps', 'retirement', 'military', 'tough', 'income', 'verification', 'five', 'families', 'swapping', 'homes', 'tons', 'contingencies', 'everything', 'along', 'way', 'mattered', 'aaron', 'nasb_team', 'got_done', 'even', 'weekends', 'closed_time', 'best', 'interest_rate', 'market', 'added', 'origination', 'fees', 'look', 'pass', 'opportunity', 'work']"
25,3,0.980099976,"process, time, read, loan, home, great, always, company, questions, nasb","['nasb_team', 'went', 'beyond', 'family', 'closed', 'important', 'home', 'loan', 'time', 'despite', 'many', 'changes', 'military', 'retirement', 'challenging', 'antebellum_home', 'required', 'entire', 'nasb_team', 'pull', 'stops', 'know', 'rules', 'regulations', 'guide', 'tough', 'process', 'truly', 'believe', 'closed_time', 'different', 'team', 'recommend', 'nasb', 'home', 'loansespecially', 'complicate', 'loans']"
26,3,0.973800004,"process, time, read, loan, home, great, always, company, questions, nasb","['dallas_goodlet', 'entire', 'team', 'deserving', 'special', 'thank', 'professional', 'come', 'closed', 'loan', 'days', 'another', 'competitor', 'originally', 'called', 'saving', 'thousands', 'current', 'lender', 'real', 'pleasure', 'getting', 'work', 'institution', 'class', 'act', 'like', 'dallas', 'great_job']"
27,3,0.987600029,"process, time, read, loan, home, great, always, company, questions, nasb","['comments', 'begin', 'wife', 'point', 'signing', 'completion', 'leader', 'online', 'home', 'mortgage', 'service', 'satisfied', 'origination', 'cost', 'applied', 'lending_tree', 'competitive', 'bids', 'several', 'lender', 'matched', 'slightly', 'beat', 'nasb', 'none', 'convincing', 'closing', 'time', 'chose', 'nasb', 'dallas_goodlet', 'believability', 'closing', 'sales', 'loan', 'service', 'application', 'process', 'competitive', 'assuring', 'professional', 'timely', 'supportive', 'truthful', 'dallas_goodlet', 'brent', 'custer', 'whole', 'nasb_team', 'delivered', 'mortgage', 'time', 'price', 'promised', 'completely', 'satisfied', 'appreciative', 'staff', 'product', 'service', 'company', 'kudos']"
28,3,0.979600012,"process, time, read, loan, home, great, always, company, questions, nasb","['working', 'jon', 'amazing', 'experience', 'start', 'offered', 'answers', 'questions', 'since', 'first_home', 'purchase', 'jon', 'always', 'phone_call', 'away', 'ready', 'help', 'needed', 'made', 'stringent', 'home_buying', 'process', 'easy', 'possible', 'definitely_recommend', 'potential', 'buyers', 'work', 'jon', 'know', 'calling', 'ever', 'decide', 'buy', 'another', 'house', 'thanks', 'jon']"
29,3,0.964600027,"process, time, read, loan, home, great, always, company, questions, nasb","['nasb', 'amazing', 'work', 'preapproval', 'process', 'easy', 'informational', 'chose', 'home', 'closed', 'within', 'days', 'agreement', 'date', 'thanks', 'nasb', 'making', 'first_home', 'purchase', 'amazing', 'experience']"
30,0,0.967100024,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['jon_barrett', 'great', 'asset', 'husband', 'made', 'mortgage', 'loan', 'process', 'extremely', 'simple', 'quick', 'jon', 'knowledgeable', 'helpful', 'patient', 'accurate', 'passing', 'jons', 'name', 'along', 'anyone_looking', 'mortgage', 'loan']"
31,3,0.979600012,"process, time, read, loan, home, great, always, company, questions, nasb","['cant', 'express', 'incredibly', 'awesome', 'experience_working', 'bryant', 'small', 'nasb', 'military', 'family', 'purchased', 'refinanced', 'many', 'homes', 'far', 'best', 'experience', 'ever', 'bryant', 'makes', 'easy', 'took', 'time', 'discuss', 'best', 'options', 'ive', 'never', 'met', 'bryant', 'cant', 'mistake', 'authenticity', 'knew', 'instantly', 'nasb', 'going']"
32,2,0.93599999,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['best', 'loan_officer', 'could', 'hoped', 'jeff', 'exceeded_expectations', 'worked_hard', 'get', 'best_rate', 'possible', 'highly_recommended']"
33,2,0.980499983,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['adam', 'great_work', 'refi', 'attention', 'detail', 'made', 'smooth', 'easy', 'transaction', 'several', 'years', 'since', 'weve', 'gone', 'thru', 'home', 'loan', 'process', 'unsure', 'start', 'talking', 'adam', 'confident', 'one', 'help', 'refi', 'professional', 'helpful', 'knowledgeable', 'loan', 'process', 'answered', 'questions', 'timely_manner', 'highly_recommend', 'adam', 'hesitate', 'work', 'agai']"
34,1,0.950299978,"process, loan, read, closing, made, team, experience, time, great, questions","['great', 'website', 'knowledgeable', 'responsive', 'always', 'got', 'back', 'quickly', 'answers', 'questions', 'mortgage', 'process', 'tedious', 'made', 'easy']"
35,0,0.969600022,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['received', 'offers', 'multiple', 'banks', 'lending_tree', 'request', 'mortgage', 'alex_madewell', 'nasb', 'far', 'best', 'offer', 'made', 'entire_process', 'easy', 'knowledgeable', 'closing', 'home', 'seamless', 'surprises', 'definitely_recommend', 'alex_madewell', 'nasb', 'anyone_looking', 'mortgage']"
36,0,0.946500003,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['rob', 'helpful', 'getting', 'loan', 'closed', 'issues', 'end', 'didnt', 'know', 'still', 'able', 'get', 'done', 'time']"
37,2,0.954299986,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['peter', 'team', 'great_work', 'professional', 'prompt', 'responses', 'answered', 'questions', 'somehow', 'got', 'closing', 'time', 'despite', 'various', 'roadblocks', 'encountered']"
38,1,0.975099981,"process, loan, read, closing, made, team, experience, time, great, questions","['adam', 'came', 'highly_recommended', 'first_time', 'spoke', 'clear', 'friendly', 'professional', 'knowledgeable', 'worked_hard', 'ensure', 'taken_care', 'aspects', 'beyond', 'necessary', 'effective', 'communication', 'skills', 'brought', 'personal', 'touch', 'closed', 'sending', 'hand', 'written', 'note', 'congratulations', 'recommend', 'everyone_know', 'buying_house']"
39,1,0.50880003,"process, loan, read, closing, made, team, experience, time, great, questions","['closing', 'process', 'loan', 'went_smoothly', 'loan', 'servicing', 'socalled', 'complete', 'disaster', 'set', 'loan', 'automatic_payments', 'using', 'clunky', 'website', 'unlike', 'banks', 'business', 'nasb', 'website', 'intuitive', 'provide', 'confirmation', 'entries', 'first', 'months', 'payments', 'automatically', 'debited', 'external', 'account', 'scheduled', 'however', 'escrow', 'amount', 'changed', 'nasb', 'debited', 'old', 'amount', 'account', 'sent', 'deficiency', 'letter', 'balance', 'unlike', 'every', 'used', 'amount', 'debit', 'automatically', 'debited', 'nasb', 'sent', 'credit_counseling', 'letter', 'telling', 'apply', 'loan', 'payment', 'charge', 'late', 'payment', 'double', 'deficiency', 'change', 'suggested', 'credit_counseling', 'services', 'called', 'servicing', 'department', 'representative', 'told', 'letter', 'sent', 'error', 'everything', 'adjusted', 'account', 'showing', 'current', 'two', 'weeks_later', 'received', 'total', 'two', 'voice', 'mail', 'messages', 'email', 'span', 'minutes', 'nasbs', 'default_department', 'woman', 'first', 'spoke', 'rude', 'said', 'showed', 'record', 'earlier', 'call', 'problem', 'hung', 'second', 'agent', 'man', 'default_department', 'said', 'show', 'made', 'automatic_payments', 'nasbs', 'system', 'set', 'adjust', 'anything', 'years', 'mortgage', 'payments', 'various', 'banks', 'never', 'experienced', 'incompetence', 'rude', 'service', 'specifically', 'instructed', 'last', 'agent', 'request', 'sell', 'servicing', 'loan', 'another', 'capable', 'actually', 'performing', 'customer_service', 'veteran']"
40,3,0.956099987,"process, time, read, loan, home, great, always, company, questions, nasb","['miserable', 'experience', 'screwed', 'everything', 'imaginable', 'never', 'accepted', 'responsibility', 'errors', 'wouldnt', 'recommend', 'purchase', 'doghouse', 'much', 'less', 'purchasing', 'new_home']"
41,3,0.989899993,"process, time, read, loan, home, great, always, company, questions, nasb","['loan_officer', 'happy', 'communicate', 'committed', 'committed', 'communicated', 'questioned', 'items', 'problems', 'questioned', 'werent', 'settling', 'rate_lock_expired', 'idea', 'process', 'unless', 'contacted', 'steve', 'poor', 'poor_communication', 'kang', 'also', 'sure', 'house', 'appraise', 'house', 'talking', 'loan', 'didnt', 'end', 'appraising', 'causing', 'refinance', 'lower', 'current', 'mortgage', 'appraiser', 'disorganized', 'called', 'twice', 'pictures', 'forgot', 'used', 'poor', 'comps', 'contacted', 'several_times', 'look', 'documents', 'expired', 'could', 'even', 'sign', 'within_minutes', 'email', 'notifications', 'good', 'actual', 'settlement', 'sweet', 'competent', 'notary', 'thank', 'goodness', 'done', 'poor', 'process', 'poor_communication', 'never', 'recommend', 'nasb', 'already', 'told', 'two', 'people', 'refinancing', 'steer_clear']"
42,2,0.973999977,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['started_refinance', 'nick', 'things', 'going', 'problem', 'credit_card', 'fro', 'years', 'earlier', 'must', 'made', 'loan', 'possible', 'understood', 'never_heard', 'called', 'nick', 'several_times', 'response', 'even', 'called', 'supervisor', 'response', 'emailed', 'response', 'company', 'want', 'due', 'busness']"
43,2,0.995299995,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['loan', 'started', 'quite', 'well', 'rep', 'donna', 'friendly', 'quick_respond', 'questions', 'clearly', 'explained', 'things', 'unfold', 'sounded', 'great', 'didnt', 'count', 'never', 'kept', 'single', 'promise', 'made', 'problem', 'times', 'ask', 'assurance', 'something', 'donna', 'respond', 'things', 'completed', 'wished', 'promise', 'violated', 'every', 'single', 'time', 'example', 'first', 'second', 'conversation', 'explained', 'donna', 'wife', 'traveling', 'country', 'weeks', 'beginning', 'loan', 'process', 'problem', 'get', 'loan', 'closed', 'said', 'close', 'several', 'weeks', 'wifes', 'departure', 'weeks_later', 'ready', 'close', 'happen', 'donna', 'ask', 'email', 'documentation', 'email', 'back', 'within', 'hours', 'depending', 'occasion', 'donna', 'assure', 'documentation', 'sent', 'great', 'everything', 'needed', 'weeks_later', 'ask', 'additional', 'documentation', 'happened', 'times', 'later', 'process', 'asked', 'repeats', 'earlier_documentation', 'earlier_documentation', 'provided', 'old', 'cannot', 'tell', 'patterns', 'recured', 'doesnt', 'care', 'customers', 'incompetent', 'every', 'time', 'complained', 'additional', 'requests', 'promise', 'wasnt', 'kept', 'donna', 'told', 'complaints', 'justified', 'sorry', 'unable', 'unwilling', 'rectify', 'broken', 'promises', 'finally', 'closed_weeks', 'initial', 'application', 'imagine', 'long', 'process', 'taken', 'responded', 'every', 'request', 'day', 'made', 'hadnt', 'pushed', 'hard_get', 'deal', 'done', 'treats', 'customers', 'complete', 'disrespect', 'someone', 'owned', 'several', 'properties', 'life', 'received', 'home', 'mortgages', 'different', 'banks', 'honestly', 'say', 'worst', 'mortgage', 'experience', 'ive_ever', 'owe', 'work', 'another', 'professional', 'respectful', 'customers', 'could', 'rate', 'lower', 'one', 'star']"
44,3,0.930000007,"process, time, read, loan, home, great, always, company, questions, nasb","['lender', 'contacted', 'previous', 'phone', 'number', 'list', 'registering', 'site', 'unprofessional', 'disturbing']"
45,3,0.970300019,"process, time, read, loan, home, great, always, company, questions, nasb","['never', 'write', 'reviews', 'time', 'prevent', 'anyone', 'making', 'mistake', 'mistake', 'using', 'north_american', 'savings', 'lenders', 'started_refinance', 'company', 'assurance', 'standard', 'refinance', 'without', 'problems', 'completed', 'minimal', 'amount', 'time', 'communication', 'company']"
46,0,0.709200025,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['started', 'bob', 'ran', 'credit', 'check', 'without', 'knowledge', 'consent', 'agreed', 'nasb', 'bob', 'told', 'could', 'close', 'less', 'weeksit', 'took', 'day', 'closing', 'still', 'asking', 'paperwork', 'day', 'closing', 'household', 'goods', 'unpacked', 'told', 'power', 'attorney', 'could', 'used', 'fly', 'wife', 'take', 'docs', 'notary', 'fedex', 'back', 'also', 'get', 'check', 'send', 'docs', 'wouldnt', 'accept', 'personal', 'check', 'five', 'days', 'later', 'driving', 'coordinate', 'closing', 'docs', 'already', 'sent', 'sale', 'home', 'sent', 'could', 'send', 'four', 'houses', 'purchased', 'past', 'years', 'stressful', 'read', 'less']"
47,1,0.977599978,"process, loan, read, closing, made, team, experience, time, great, questions","['horrible', 'experience', 'excellent', 'credit', 'plenty', 'income', 'etc', 'nasb', 'rep', 'made', 'tons', 'promises', 'get', 'sign', 'weeks', 'closing', 'disappeared', 'failed', 'give', 'lock', 'firm', 'closing_date', 'thankfully', 'sensed', 'problems', 'immediately', 'contacted', 'local', 'lender', 'got', 'loan', 'better', 'terms', 'low']"
48,1,0.9921,"process, loan, read, closing, made, team, experience, time, great, questions","['rep', 'extremely', 'professional', 'friendly', 'helpful', 'first', 'spoke', 'fact', 'initial', 'round', 'calls', 'thought', 'going', 'select', 'five', 'lending_tree', 'lenders', 'plus', 'two', 'banks', 'talked', 'directly', 'sent', 'email', 'lenders', 'saying', 'contract', 'signed', 'want', 'select', 'lender', 'lock', 'rate', 'tomorrow', 'please', 'send', 'best', 'current', 'rate', 'fees', 'etc', 'exact', 'loan', 'parameters', 'took', 'rep', 'nasb', 'week', 'respond', 'replied', 'thanks', 'late', 'selected', 'someone_else', 'already', 'locked', 'rate', 'following', 'weeks', 'continued', 'receive', 'emails', 'saying', 'ready', 'proceed', 'loan', 'let_know', 'closed', 'january', 'february', 'got', 'another', 'email', 'guess', 'didnt', 'really', 'ever', 'read', 'emails', 'also', 'told', 'phone', 'missed', 'boat', 'seemed', 'fall', 'deaf', 'ears', 'end', 'round', 'one', 'rates', 'fees', 'competitive', 'though', 'pretty', 'near', 'best', 'bunch']"
49,0,0.965600014,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['working', 'loan_consultant', 'nasb', 'told', 'give', 'rate', 'year', 'fixed', 'loan', 'total_closing', 'cost', 'asked', 'send', 'good_faith_estimate', 'good_faith_estimate', 'came', 'total_closing', 'cost', 'mentioned', 'conversation', 'called', 'exp']"
50,3,0.970799983,"process, time, read, loan, home, great, always, company, questions, nasb","['every', 'way', 'wonderful', 'person', 'business', 'woman', 'considerate', 'goals', 'helping', 'achieve', 'went', 'beyond', 'helping', 'make', 'good', 'decisions', 'well', 'educate', 'options', 'could', 'happy', 'connect', 'process', 'definitely', 'future', 'needed']"
51,3,0.976800025,"process, time, read, loan, home, great, always, company, questions, nasb","['mary', 'connolly', 'staff', 'well', 'upper', 'management', 'nothing', 'helpful', 'entire_process', 'mary', 'special', 'lady', 'took', 'time', 'understood', 'goals', 'helped', 'achieve', 'never', 'made', 'feel', 'uncomfortable', 'nervous', 'situation', 'always_available', 'help', 'needed', 'answer', 'found', 'wonderful', 'people', 'work', 'read']"
52,0,0.632000029,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['thanks', 'reliance', 'capital', 'helping', 'get', 'thought', 'difficult', 'impossible', 'refinance', 'weve', 'credit', 'issues', 'past', 'lately', 'weve', 'working', 'hard', 'improving', 'scores', 'happy', 'reliance', 'capital', 'able', 'work', 'help', 'guide', 'throughout', 'process', 'despite', 'less', 'stellar', 'financial', 'situation', 'thanks', 'especially', 'patrick', 'excellent', 'customer_service', 'reassurance', 'step', 'way', 'read']"
53,3,0.679199994,"process, time, read, loan, home, great, always, company, questions, nasb","['initially', 'pretty', 'skeptical', 'refinancing', 'home', 'weve', 'personal', 'family', 'issues', 'devastated', 'credit', 'point', 'felt', 'waste', 'time', 'since', 'wed', 'never', 'approved', 'however', 'real', 'need', 'arose', 'dads', 'declining', 'health', 'demanded', 'make', 'room', 'home', 'keep', 'close', 'give', 'care', 'needs', 'werent', 'sure', 'expect', 'patrick', 'reliance', 'soon', 'reassured', 'thoroughly', 'delighted', 'pat', 'informed', 'eligible', 'hed', 'walk', 'entire_process', 'personally', 'simply', 'superlatives', 'sufficient', 'thank', 'fantastic', 'guidance', 'getting', 'home', 'refinanced', 'took', 'assumed', 'challenging', 'home', 'refinance', 'successfully', 'navigated', 'process', 'successful', 'conclusion', 'every', 'single', 'step', 'proved', 'friendly', 'patient', 'polite', 'knowledgeable', 'professional', 'consistently', 'available', 'cant', 'remember', 'last', 'company', 'dealt', 'returned', 'calls', 'emails', 'timely_manner', 'even', 'personally', 'called', 'weekends', 'items', 'needed', 'attention', 'person', 'ask', 'mortgage_broker', 'happily', 'recommend', 'others', 'thanks', 'patrick', 'support', 'assistance', 'read']"
54,0,0.94630003,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['genna', 'englert', 'provided', 'excellent', 'service', 'process', 'smooth', 'fast', 'husband', 'recommend', 'reliance', 'first', 'capital', 'everyone']"
55,1,0.960600019,"process, loan, read, closing, made, team, experience, time, great, questions","['ritu', 'pleasure_work', 'positive', 'energetic', 'knowledgeable', 'willing', 'help', 'run', 'several', 'different', 'options', 'make_sure', 'happy', 'plan', 'helped', 'see', 'process', 'beginning_end', 'work']"
56,2,0.965499997,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['reliance', 'pleasure_work', 'refinancing', 'documents', 'provided', 'went', 'start', 'closing', 'weeks', 'vacation', 'week', 'middle', 'business', 'special', 'mention', 'ritu', 'delight', 'helped', 'keep', 'processing', 'moving', 'quickly']"
57,3,0.598800004,"process, time, read, loan, home, great, always, company, questions, nasb",['close']
58,3,0.926999986,"process, time, read, loan, home, great, always, company, questions, nasb","['easy', 'going', 'extra_mile', 'overcoming', 'obstacles', 'truthful', 'honest', 'dependable', 'professional', 'friendly']"
59,1,0.792400002,"process, loan, read, closing, made, team, experience, time, great, questions","['new', 'federal', 'regulations', 'made', 'tedious', 'time', 'consuming', 'process', 'closing_costs', 'seemed', 'bit', 'high', 'seemed', 'like', 'spent', 'lot', 'time', 'explaining', 'obvious']"
60,1,0.738399982,"process, loan, read, closing, made, team, experience, time, great, questions","['informative', 'responsive']"
61,1,0.948199987,"process, loan, read, closing, made, team, experience, time, great, questions","['tim', 'pope', 'informative', 'throughout', 'process', 'beginning_end', 'unlike', 'lenders', 'made', 'pleasure', 'able', 'experience', 'thanks', 'tim']"
